long,lat,alt,model,reg_city,reg_state,mph,Label
-117.775,34.4989,15900,MD-11F,LOUISVILLE,KENTUCKY,486,moderate
-118.319,34.572,8275,ERJ 170-200 LL,ST GEORGE,UTAH,322,safe
-118.507,34.6917,36425,A320-233,SALT LAKE CITY,UTAH,523,risk
-118.735,34.8595,34350,737-990,SEATTLE,WASHINGTON,509,risk
-117.842,34.5045,21375,737-7BD,DALLAS,TEXAS,414,moderate
-117.667,34.552,30475,737-823,SALT LAKE CITY,UTAH,500,risk
-118.71,34.7774,40325,737-7H4,DALLAS,TEXAS,513,highest risk
-117.863,34.5132,20675,ERJ 170-200 LR,ST GEORGE,UTAH,442,moderate
-118.702,34.9422,38300,737-7H4,DALLAS,TEXAS,518,risk
-118.108,34.6631,21375,MD-11F,LOUISVILLE,KENTUCKY,502,risk
-118.486,34.9479,30175,A320-233,SALT LAKE CITY,UTAH,529,risk
-118.242,34.7683,14550,A319-112,WILMINGTON,DELAWARE,444,moderate
-118.409,34.4666,23500,767-300F,MEMPHIS,TENNESSEE,516,risk
-117.961,34.6272,24850,737-7BD,DALLAS,TEXAS,474,moderate
-117.748,34.5791,18725,757-24APF,LOUISVILLE,KENTUCKY,463,moderate
-118.341,34.5689,8175,737-7H4,DALLAS,TEXAS,331,safe
-117.92,34.6162,30375,737-7H4,DALLAS,TEXAS,523,risk
-117.6,34.4927,36525,737-8H4,DALLAS,TEXAS,511,risk
-118.682,35.0276,36275,737-8H4,DALLAS,TEXAS,523,risk
-118.648,35.1657,34875,737-990ER,SEATAC,WASHINGTON,525,risk
-117.918,34.5646,14100,200T,BRIDGEWATER,VIRGINIA,246,safe
-117.917,34.6094,34425,737-924ER,CHICAGO,ILLINOIS,534,risk
-117.824,34.4502,35400,767-424ER,CHICAGO,ILLINOIS,536,risk
-117.537,34.7963,33375,737-9,WILMINGTON,DELAWARE,534,risk
-118.316,34.4807,13275,A320-232,LONG ISLAND CITY,NEW YORK,424,moderate
-117.767,34.6895,17600,737-900ER,SEATTLE,WASHINGTON,396,safe
-118.489,35.0672,36325,A320-233,SALT LAKE CITY,UTAH,460,risk
-118.835,34.7988,35200,747-47UF,PURCHASE,NEW YORK,552,risk
-118.274,34.456,29425,A320-232,BOSTON,MASSACHUSETTS,502,risk
-117.535,34.532,39500,A350-941,SALT LAKE CITY,UTAH,562,risk
-118.439,34.3071,37375,777-224,CHICAGO,ILLINOIS,460,risk
-118.43,34.3477,37350,737-990ER,SEATTLE,WASHINGTON,513,risk
-118.329,34.4921,30700,767-34AF,LOUISVILLE,KENTUCKY,527,risk
-118.379,34.6322,33350,A320-233,SALT LAKE CITY,UTAH,520,risk
-117.685,34.3491,35500,777-222,CHICAGO,ILLINOIS,571,risk
-117.941,34.645,13050,GVI,WEST HOLLYWOOD,CALIFORNIA,451,moderate
-117.67,34.6379,39300,A330-243,SALT LAKE CITY,UTAH,548,risk
-118.25,34.5884,37325,757-224,CHICAGO,ILLINOIS,534,risk
-118.451,34.8479,35275,A320-233,SALT LAKE CITY,UTAH,509,risk
-117.605,34.5454,35475,MD-11F,MEMPHIS,TENNESSEE,555,risk
-118.206,34.633,31700,MD-11F,LOUISVILLE,KENTUCKY,555,risk
-118.087,34.3775,22825,747-44AF,LOUISVILLE,KENTUCKY,460,moderate
-118.643,35.0638,29125,767-300F,MEMPHIS,TENNESSEE,529,risk
-117.668,34.424,37500,A330-243,SALT LAKE CITY,UTAH,548,risk
-118.364,34.8707,28425,A300 F4-622R,LOUISVILLE,KENTUCKY,550,risk
-117.833,34.3255,35425,A320-233,SALT LAKE CITY,UTAH,518,risk
-117.559,34.4482,39500,787-9,FORT WORTH,TEXAS,552,risk
-118.272,34.5853,9000,A300 F4-622R,LOUISVILLE,KENTUCKY,334,safe
-118.525,34.6747,28325,A320-232,CHICAGO,ILLINOIS,504,risk
-118.189,34.606,9900,E-90,CARSON CITY,NEVADA,460,moderate
-117.92,34.3661,18325,737-924ER,CHICAGO,ILLINOIS,407,moderate
-117.888,34.4767,35275,737-7H4,DALLAS,TEXAS,506,risk
-118.224,34.5676,15925,750,FORT WORTH,TEXAS,419,moderate
-118.382,34.8601,24450,A319-112,WILMINGTON,DELAWARE,465,moderate
-118.498,34.5875,25400,737-900ER,SEATTLE,WASHINGTON,495,moderate
-118.611,34.7698,34975,737-7H4,DALLAS,TEXAS,520,risk
-118.168,34.5182,7500,B300,EL SEGUNDO,CALIFORNIA,242,safe
-117.797,34.5673,24450,GVI (G650ER),LOS ANGELES,CALIFORNIA,497,moderate
-118.658,34.855,29200,ERJ 170-200 LR,ST GEORGE,UTAH,460,moderate
-118.364,34.8397,24125,757-24APF,LOUISVILLE,KENTUCKY,500,moderate
-118.446,34.5286,23300,ERJ 170-200 LR,SAINT GEORGE,UTAH,440,moderate
-118.306,34.5482,39475,CL-600-2D24,PHOENIX,ARIZONA,529,risk
-118.177,34.7093,39375,HAWKER 850XP,DALLAS,TEXAS,511,risk
-117.753,34.4605,25325,CL-600-2B16,CHEYENNE,WYOMING,444,moderate
-117.462,34.6547,34775,A330-243,SALT LAKE CITY,UTAH,546,risk
-117.925,34.5676,21975,757-24APF,LOUISVILLE,KENTUCKY,513,risk
-118.621,34.5363,25475,680,KINSTON,NORTH CAROLINA,474,moderate
-117.978,34.6125,36300,EMB-145XR,COLUMBUS,OHIO,509,risk
-117.847,34.377,18475,737-7H4,DALLAS,TEXAS,380,safe
-117.879,34.7349,33150,A320-214,FORT WORTH,TEXAS,520,risk
-118.747,34.987,40225,737-76N,DALLAS,TEXAS,518,highest risk
-118.604,34.5073,23150,767-36N,PURCHASE,NEW YORK,460,moderate
-117.935,34.5764,6375,B300,EL SEGUNDO,CALIFORNIA,242,safe
-117.946,34.6929,22000,ERJ 170-200 LL,ST GEORGE,UTAH,396,moderate
-118.19,34.6054,16875,BD-700-1A10,LOS ANGELES,CALIFORNIA,460,moderate
-118.641,34.5691,20200,737-900ER,SEATAC,WASHINGTON,456,moderate
-118.595,34.5715,32300,525B,SALEM,OREGON,417,risk
-117.982,34.7761,20725,737-823,FORT WORTH,TEXAS,437,moderate
-118.063,34.7269,10175,208B,MEMPHIS,TENNESSEE,460,moderate
-117.451,34.6584,29350,737-7H4,DALLAS,TEXAS,486,moderate
-117.923,34.6478,13275,EMB-135LR,SALT LAKE CITY,UTAH,460,moderate
-118.226,34.5692,19575,737-7H4,DALLAS,TEXAS,421,moderate
-118.475,34.8826,38600,CL-600-2B16,OKLAHOMA CITY,OKLAHOMA,518,risk
-117.755,34.4906,16275,757-24APF,LOUISVILLE,KENTUCKY,460,moderate
-118.084,34.6583,11025,B300,EL SEGUNDO,CALIFORNIA,265,safe
-118.07,34.6743,33625,A319-132,NEW YORK,NEW YORK,523,risk
-119.087,35.0067,35550,737-76N,SALT LAKE CITY,UTAH,532,risk
-117.813,34.6326,24200,A319-132,SALT LAKE CITY,UTAH,447,moderate
-118.227,34.723,35275,737-8,WILMINGTON,DELAWARE,527,risk
-118.231,34.5017,16850,G-IV,SCOTTSDALE,ARIZONA,437,moderate
-117.685,34.3548,25350,A320-232,LONG ISLAND CITY,NEW YORK,451,moderate
-117.98,34.6406,14075,737-7H4,DALLAS,TEXAS,401,moderate
-117.97,34.6917,24500,60,GLENDALE,CALIFORNIA,470,moderate
-117.781,34.591,24300,B200GT,CORCORAN,CALIFORNIA,228,moderate
-118.249,34.5966,23050,45,NEWARK,DELAWARE,442,moderate
-117.769,34.419,19150,CL-600-2B16,WHITTIER,CALIFORNIA,373,safe
-118.095,34.7406,22450,767-300F,LOUISVILLE,KENTUCKY,518,risk
-118.045,34.681,19000,680A,COLUMBUS,OHIO,449,moderate
-118.61,34.8328,30250,ERJ 170-200 LR,ST GEORGE,UTAH,504,risk
-118.554,34.408,31250,737-990ER,SEATTLE,WASHINGTON,532,risk
-117.536,34.4588,35500,737-8,WILMINGTON,DELAWARE,460,risk
-119.085,35.0039,32075,737-7Q8,WILMINGTON,DELAWARE,460,risk
-118.113,34.484,20775,FALCON 2000,OKLAHOMA CITY,OKLAHOMA,336,moderate
-118.45,34.7354,33325,737-924ER,CHICAGO,ILLINOIS,532,risk
-118.043,34.5404,11075,EMB-500,MOORPARK,CALIFORNIA,329,safe
-118.57,34.7006,38125,737-890,SEATTLE,WASHINGTON,525,risk
-118.078,34.709,20100,60,LAS VEGAS,NEVADA,447,moderate
-118.124,34.6179,11150,737-7H4,DALLAS,TEXAS,382,safe
-117.853,34.26,21875,787-10,CHICAGO,ILLINOIS,460,moderate
-118.457,34.4484,40425,737-8,SALT LAKE CITY,UTAH,523,highest risk
-117.574,34.4799,29125,A321-231,LONG ISLAND CITY,NEW YORK,465,moderate
-118.198,34.5977,18550,680A,OKLAHOMA CITY,OKLAHOMA,378,safe
-118.293,34.764,37325,737-800,DALLAS,TEXAS,523,risk
-118.495,34.5832,28200,737-7H4,DALLAS,TEXAS,472,moderate
-117.834,34.5256,17025,MD-11F,LOUISVILLE,KENTUCKY,403,moderate
-118.559,34.422,29250,737-9,SEATAC,WASHINGTON,497,moderate
-118.089,34.649,34400,ERJ 170-200 LR,ST GEORGE,UTAH,532,risk
-118.243,34.5917,7975,EMB-135ER,DALLAS,TEXAS,460,moderate
-117.841,34.2669,25175,CL-600-2C10,ST GEORGE,UTAH,460,moderate
-118.496,34.5133,28200,ERJ 170-200 LR,ST GEORGE,UTAH,479,moderate
-118.438,34.4215,40425,737-7H4,DALLAS,TEXAS,518,highest risk
-118.139,34.648,20400,737-7H4,DALLAS,TEXAS,442,moderate
-117.521,34.69,38375,400A,CASPER,WYOMING,502,risk
-118.22,34.5663,37450,ERJ 170-200 LR,ST GEORGE,UTAH,500,risk
-118.251,34.6723,36400,737-8H4,DALLAS,TEXAS,532,risk
-117.593,34.6876,27650,560XL,OKLAHOMA CITY,OKLAHOMA,460,moderate
-118.121,34.6708,21225,737-900ER,SEATTLE,WASHINGTON,458,moderate
-118.601,34.3343,25175,ERJ 170-200 LR,ST GEORGE,UTAH,460,moderate
-118.353,34.5637,7975,ERJ 170-200 LL,SAINT GEORGE,UTAH,322,safe
-117.533,34.3038,37575,EMB-145XR,COLUMBUS,OHIO,516,risk
-118.637,34.6034,31900,BD-100-1A10,REDMOND,WASHINGTON,460,risk
-117.826,34.7003,22075,A320-271N,WILMINGTON,DELAWARE,435,moderate
-118.06,34.6311,20075,737-7H4,DALLAS,TEXAS,442,moderate
-117.77,34.4963,15975,737-7BD,DALLAS,TEXAS,417,moderate
-118.225,34.5852,16050,BD-700-1A10,NORTH SALT LAKE,UTAH,440,moderate
-118.686,34.7631,29925,737-8H4,DALLAS,TEXAS,516,risk
-117.64,34.7099,27250,737-7H4,DALLAS,TEXAS,467,moderate
-118.056,34.7042,11650,208B,MEMPHIS,TENNESSEE,460,moderate
-118.57,34.471,26925,737-832,ATLANTA,GEORGIA,497,moderate
-118.338,34.5704,7900,680,OVERLAND PARK,KANSAS,460,moderate
-117.405,34.4342,37525,SPAD XIII,FRESNO,CALIFORNIA,529,risk
-118.49,34.4818,24050,R44,SANTA ANA,CALIFORNIA,463,moderate
-118.513,34.96,40225,737-7H4,DALLAS,TEXAS,460,highest risk
-118.297,34.4131,40450,BD-100-1A10,DANBURY,CONNECTICUT,541,highest risk
-117.848,34.5556,33025,750,NEW YORK,NEW YORK,502,risk
-118.493,34.5186,30275,737-7Q8,WILMINGTON,DELAWARE,504,risk
-118.175,34.6764,24175,737-7BD,DALLAS,TEXAS,472,moderate
-117.227,34.6895,30100,A321-253N,SALT LAKE CITY,UTAH,509,risk
-118.318,34.8181,43400,BD-100-1A10,SCOTTSDALE,ARIZONA,525,highest risk
-118.238,34.7145,33900,ERJ 170-200 LR,ST GEORGE,UTAH,495,risk
-117.588,34.575,41525,680,LAS VEGAS,NEVADA,481,highest risk
-118.432,34.4914,30200,737-800,SALT LAKE CITY,UTAH,532,risk
-118.522,34.5554,40475,737-8,DALLAS,TEXAS,525,highest risk
-117.892,34.6962,20650,EMB-135ER,DALLAS,TEXAS,460,moderate
-117.835,34.6073,30975,CL-600-2B19,SAINT GEORGE,UTAH,460,risk
-117.741,34.603,20525,ERJ 170-200 LR,ST GEORGE,UTAH,440,moderate
-118.549,34.8612,34250,ERJ 170-200 LR,ST GEORGE,UTAH,495,risk
-117.99,34.639,9350,525,JACKSON,WYOMING,460,moderate
-118.56,34.6167,36350,737-990ER,SEATTLE,WASHINGTON,520,risk
-117.93,34.5217,31400,737-823,SALT LAKE CITY,UTAH,525,risk
-118.605,34.4555,31575,HAWKER 800XP,LAS VEGAS,NEVADA,509,risk
-118.161,34.6258,27700,,WASHINGTON,DIST. OF COL.,523,risk
